member,member_name,expression,augmentation,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hist_32,hist_33,hist_34,hist_35,hist_36,hist_37,hist_38,hist_39,hist_40,hist_41,hist_42,hist_43,hist_44,hist_45,hist_46,hist_47,stat_0,stat_1,stat_2,stat_3,stat_4,stat_5
member_1,Winston,neutral,original,0.000244140625,0.001220703125,0.00238037109375,0.007568359375,0.0185546875,0.0361328125,0.04364013671875,0.06884765625,0.05828857421875,0.053466796875,0.08978271484375,0.072021484375,0.0631103515625,0.2652587890625,0.21661376953125,0.00286865234375,0.00457763671875,0.0135498046875,0.033447265625,0.04541015625,0.0701904296875,0.047607421875,0.02392578125,0.0242919921875,0.04217529296875,0.0806884765625,0.06939697265625,0.13787841796875,0.282470703125,0.12347412109375,0.00091552734375,0.0,0.0142822265625,0.0325927734375,0.055419921875,0.06793212890625,0.046142578125,0.01751708984375,0.02069091796875,0.02978515625,0.048583984375,0.14447021484375,0.33880615234375,0.16375732421875,0.01068115234375,0.0040283203125,0.00439453125,0.00091552734375,182.80634,48.60433,156.40186,55.796093,136.68188,51.920715
member_1,Winston,neutral,Rotated (+15),0.000244140625,0.0010986328125,0.00238037109375,0.00775146484375,0.01885986328125,0.03546142578125,0.0438232421875,0.0655517578125,0.15472412109375,0.0472412109375,0.079345703125,0.0616455078125,0.0489501953125,0.23016357421875,0.1998291015625,0.0029296875,0.00439453125,0.013916015625,0.03350830078125,0.04534912109375,0.06988525390625,0.046630859375,0.02044677734375,0.01995849609375,0.13653564453125,0.0699462890625,0.0595703125,0.1025390625,0.2528076171875,0.12359619140625,0.00091552734375,0.0,0.01409912109375,0.0330810546875,0.05517578125,0.067626953125,0.0458984375,0.01507568359375,0.0164794921875,0.02557373046875,0.142578125,0.1129150390625,0.2977294921875,0.15655517578125,0.0079345703125,0.00390625,0.00445556640625,0.00091552734375,175.9563,50.121925,151.85931,55.443398,133.90527,51.09394
member_1,Winston,neutral,Flipped (H),0.000244140625,0.001220703125,0.00238037109375,0.007568359375,0.0185546875,0.0361328125,0.04364013671875,0.06884765625,0.05828857421875,0.053466796875,0.08978271484375,0.072021484375,0.0631103515625,0.2652587890625,0.21661376953125,0.00286865234375,0.00457763671875,0.0135498046875,0.033447265625,0.04541015625,0.0701904296875,0.047607421875,0.02392578125,0.0242919921875,0.04217529296875,0.0806884765625,0.06939697265625,0.13787841796875,0.282470703125,0.12347412109375,0.00091552734375,0.0,0.0142822265625,0.0325927734375,0.055419921875,0.06793212890625,0.046142578125,0.01751708984375,0.02069091796875,0.02978515625,0.048583984375,0.14447021484375,0.33880615234375,0.16375732421875,0.01068115234375,0.0040283203125,0.00439453125,0.00091552734375,182.80634,48.60433,156.40186,55.796093,136.68188,51.92072
member_1,Winston,neutral,Grayscale,0.00152587890625,0.006103515625,0.017333984375,0.04022216796875,0.04754638671875,0.070556640625,0.04132080078125,0.02734375,0.0364990234375,0.06854248046875,0.08221435546875,0.10675048828125,0.28009033203125,0.17193603515625,0.00201416015625,0.0,0.00152587890625,0.006103515625,0.017333984375,0.04022216796875,0.04754638671875,0.070556640625,0.04132080078125,0.02734375,0.0364990234375,0.06854248046875,0.08221435546875,0.10675048828125,0.28009033203125,0.17193603515625,0.00201416015625,0.0,0.00152587890625,0.006103515625,0.017333984375,0.04022216796875,0.04754638671875,0.070556640625,0.04132080078125,0.02734375,0.0364990234375,0.06854248046875,0.08221435546875,0.10675048828125,0.28009033203125,0.17193603515625,0.00201416015625,0.0,162.0315,52.852734,162.0315,52.852734,162.0315,52.852734
member_1,Winston,smiling,original,0.00018310546875,0.0009765625,0.00311279296875,0.00750732421875,0.01776123046875,0.035888671875,0.04815673828125,0.0692138671875,0.0562744140625,0.05682373046875,0.0908203125,0.07183837890625,0.10614013671875,0.30633544921875,0.12884521484375,0.0001220703125,0.00408935546875,0.01409912109375,0.0284423828125,0.05059814453125,0.07464599609375,0.0443115234375,0.0218505859375,0.0230712890625,0.04632568359375,0.081298828125,0.07373046875,0.20367431640625,0.320556640625,0.0125732421875,0.000732421875,0.0,0.0142822265625,0.03131103515625,0.05755615234375,0.0704345703125,0.04248046875,0.01788330078125,0.0205078125,0.032470703125,0.05096435546875,0.17669677734375,0.4136962890625,0.055419921875,0.0069580078125,0.00445556640625,0.00439453125,0.00048828125,179.68854,46.476776,154.21912,54.071342,134.48145,50.582317
member_1,Winston,smiling,Rotated (+15),0.00018310546875,0.0009765625,0.003173828125,0.00738525390625,0.01751708984375,0.03631591796875,0.04754638671875,0.0653076171875,0.153076171875,0.04833984375,0.08026123046875,0.06158447265625,0.08367919921875,0.265869140625,0.12860107421875,0.00018310546875,0.00396728515625,0.01422119140625,0.02825927734375,0.05108642578125,0.07373046875,0.04388427734375,0.0181884765625,0.01837158203125,0.1385498046875,0.07037353515625,0.06109619140625,0.15325927734375,0.31158447265625,0.01275634765625,0.00067138671875,0.0,0.0142822265625,0.03118896484375,0.0574951171875,0.0704345703125,0.04205322265625,0.0152587890625,0.01641845703125,0.02667236328125,0.14422607421875,0.13330078125,0.3837890625,0.0491943359375,0.00634765625,0.0045166015625,0.0042724609375,0.00054931640625,173.39838,47.941116,150.12494,53.733025,132.1789,49.842674
member_1,Winston,smiling,Flipped (H),0.00018310546875,0.0009765625,0.00311279296875,0.00750732421875,0.01776123046875,0.035888671875,0.04815673828125,0.0692138671875,0.0562744140625,0.05682373046875,0.0908203125,0.07183837890625,0.10614013671875,0.30633544921875,0.12884521484375,0.0001220703125,0.00408935546875,0.01409912109375,0.0284423828125,0.05059814453125,0.07464599609375,0.0443115234375,0.0218505859375,0.0230712890625,0.04632568359375,0.081298828125,0.07373046875,0.20367431640625,0.320556640625,0.0125732421875,0.000732421875,0.0,0.0142822265625,0.03131103515625,0.05755615234375,0.0704345703125,0.04248046875,0.01788330078125,0.0205078125,0.032470703125,0.05096435546875,0.17669677734375,0.4136962890625,0.055419921875,0.0069580078125,0.00445556640625,0.00439453125,0.00048828125,179.68854,46.476772,154.21912,54.071342,134.48145,50.582317
member_1,Winston,smiling,Grayscale,0.001220703125,0.006591796875,0.0166015625,0.0380859375,0.05255126953125,0.07208251953125,0.0386962890625,0.025634765625,0.03826904296875,0.07293701171875,0.0823974609375,0.1563720703125,0.31658935546875,0.08038330078125,0.0015869140625,0.0,0.001220703125,0.006591796875,0.0166015625,0.0380859375,0.05255126953125,0.07208251953125,0.0386962890625,0.025634765625,0.03826904296875,0.07293701171875,0.0823974609375,0.1563720703125,0.31658935546875,0.08038330078125,0.0015869140625,0.0,0.001220703125,0.006591796875,0.0166015625,0.0380859375,0.05255126953125,0.07208251953125,0.0386962890625,0.025634765625,0.03826904296875,0.07293701171875,0.0823974609375,0.1563720703125,0.31658935546875,0.08038330078125,0.0015869140625,0.0,159.57428,51.066803,159.57428,51.066803,159.57428,51.066803
member_1,Winston,surprised,original,0.0001220703125,0.00152587890625,0.00567626953125,0.0067138671875,0.01849365234375,0.02032470703125,0.04248046875,0.07318115234375,0.08056640625,0.07464599609375,0.06689453125,0.06707763671875,0.0555419921875,0.23828125,0.24755859375,0.00091552734375,0.0076904296875,0.0126953125,0.025146484375,0.04388427734375,0.06585693359375,0.04473876953125,0.0382080078125,0.0457763671875,0.0576171875,0.06109619140625,0.06048583984375,0.10125732421875,0.3250732421875,0.10894775390625,0.00152587890625,0.0,0.01617431640625,0.027587890625,0.0572509765625,0.060791015625,0.0419921875,0.02398681640625,0.03680419921875,0.05126953125,0.0556640625,0.1177978515625,0.38616943359375,0.09881591796875,0.0159912109375,0.00537109375,0.0032958984375,0.00103759765625,182.65088,48.479637,155.82404,55.415836,135.052,50.949318
member_1,Winston,surprised,Rotated (+15),0.0001220703125,0.00146484375,0.0057373046875,0.00640869140625,0.01837158203125,0.01934814453125,0.02880859375,0.06402587890625,0.17657470703125,0.07342529296875,0.06512451171875,0.06317138671875,0.04620361328125,0.196044921875,0.23468017578125,0.00048828125,0.0078125,0.01220703125,0.02508544921875,0.0311279296875,0.061279296875,0.04156494140625,0.03326416015625,0.0408935546875,0.158447265625,0.0582275390625,0.0556640625,0.073486328125,0.2916259765625,0.10791015625,0.00140380859375,0.0,0.0159912109375,0.026611328125,0.04156494140625,0.05975341796875,0.0399169921875,0.01971435546875,0.03106689453125,0.05010986328125,0.1551513671875,0.09130859375,0.34808349609375,0.095458984375,0.015869140625,0.0050048828125,0.00347900390625,0.00091552734375,177.05951,48.943195,153.08185,53.488575,134.7644,48.53659
member_1,Winston,surprised,Flipped (H),0.0001220703125,0.00152587890625,0.00567626953125,0.0067138671875,0.01849365234375,0.02032470703125,0.04248046875,0.07318115234375,0.08056640625,0.07464599609375,0.06689453125,0.06707763671875,0.0555419921875,0.23828125,0.24755859375,0.00091552734375,0.0076904296875,0.0126953125,0.025146484375,0.04388427734375,0.06585693359375,0.04473876953125,0.0382080078125,0.0457763671875,0.0576171875,0.06109619140625,0.06048583984375,0.10125732421875,0.3250732421875,0.10894775390625,0.00152587890625,0.0,0.01617431640625,0.027587890625,0.0572509765625,0.060791015625,0.0419921875,0.02398681640625,0.03680419921875,0.05126953125,0.0556640625,0.1177978515625,0.38616943359375,0.09881591796875,0.0159912109375,0.00537109375,0.0032958984375,0.00103759765625,182.65088,48.479637,155.82404,55.415836,135.052,50.949318
member_1,Winston,surprised,Grayscale,0.00372314453125,0.00714111328125,0.0181884765625,0.02313232421875,0.051513671875,0.06658935546875,0.04656982421875,0.049072265625,0.05743408203125,0.060302734375,0.0638427734375,0.07403564453125,0.30975341796875,0.165771484375,0.0029296875,0.0,0.00372314453125,0.00714111328125,0.0181884765625,0.02313232421875,0.051513671875,0.06658935546875,0.04656982421875,0.049072265625,0.05743408203125,0.060302734375,0.0638427734375,0.07403564453125,0.30975341796875,0.165771484375,0.0029296875,0.0,0.00372314453125,0.00714111328125,0.0181884765625,0.02313232421875,0.051513671875,0.06658935546875,0.04656982421875,0.049072265625,0.05743408203125,0.060302734375,0.0638427734375,0.07403564453125,0.30975341796875,0.165771484375,0.0029296875,0.0,161.4325,52.439236,161.4325,52.439236,161.4325,52.439236
member_2,Miracle,neutral,original,0.0,0.0062255859375,0.01348876953125,0.030517578125,0.05340576171875,0.09033203125,0.11090087890625,0.142822265625,0.13873291015625,0.092041015625,0.06634521484375,0.04852294921875,0.0335693359375,0.03521728515625,0.02923583984375,0.108642578125,0.0,0.009521484375,0.0185546875,0.0604248046875,0.13751220703125,0.184326171875,0.12646484375,0.10302734375,0.07958984375,0.04931640625,0.0350341796875,0.0340576171875,0.02520751953125,0.02325439453125,0.025634765625,0.08807373046875,6.103515625e-05,0.01513671875,0.02886962890625,0.07025146484375,0.17803955078125,0.21417236328125,0.13323974609375,0.0777587890625,0.0673828125,0.0462646484375,0.0411376953125,0.03387451171875,0.0361328125,0.04498291015625,0.00860595703125,0.00408935546875,143.87634,56.61824,124.04974,59.390984,108.92847,47.702976
member_2,Miracle,neutral,Rotated (+15),0.0,0.00579833984375,0.0128173828125,0.0306396484375,0.04248046875,0.072509765625,0.0882568359375,0.13067626953125,0.22711181640625,0.08612060546875,0.06158447265625,0.0462646484375,0.03216552734375,0.03265380859375,0.0274658203125,0.10345458984375,0.0,0.009033203125,0.01763916015625,0.05438232421875,0.1109619140625,0.1627197265625,0.1177978515625,0.08837890625,0.1746826171875,0.04595947265625,0.032470703125,0.03143310546875,0.0247802734375,0.02252197265625,0.0230712890625,0.08416748046875,0.0,0.01434326171875,0.02801513671875,0.06298828125,0.14666748046875,0.189453125,0.1197509765625,0.06951904296875,0.16485595703125,0.0438232421875,0.039306640625,0.03106689453125,0.0335693359375,0.04376220703125,0.00885009765625,0.0040283203125,144.25476,54.46023,126.225525,57.064083,112.246765,46.382088
member_2,Miracle,neutral,Flipped (H),0.0,0.0062255859375,0.01348876953125,0.030517578125,0.05340576171875,0.09033203125,0.11090087890625,0.142822265625,0.13873291015625,0.092041015625,0.06634521484375,0.04852294921875,0.0335693359375,0.03521728515625,0.02923583984375,0.108642578125,0.0,0.009521484375,0.0185546875,0.0604248046875,0.13751220703125,0.184326171875,0.12646484375,0.10302734375,0.07958984375,0.04931640625,0.0350341796875,0.0340576171875,0.02520751953125,0.02325439453125,0.025634765625,0.08807373046875,6.103515625e-05,0.01513671875,0.02886962890625,0.07025146484375,0.17803955078125,0.21417236328125,0.13323974609375,0.0777587890625,0.0673828125,0.0462646484375,0.0411376953125,0.03387451171875,0.0361328125,0.04498291015625,0.00860595703125,0.00408935546875,143.87634,56.61824,124.04974,59.390984,108.92847,47.702976
member_2,Miracle,neutral,Grayscale,0.0,0.009033203125,0.01617431640625,0.0494384765625,0.1087646484375,0.14776611328125,0.1600341796875,0.11456298828125,0.091796875,0.05908203125,0.0411376953125,0.03753662109375,0.02655029296875,0.02630615234375,0.0289306640625,0.0828857421875,0.0,0.009033203125,0.01617431640625,0.0494384765625,0.1087646484375,0.14776611328125,0.1600341796875,0.11456298828125,0.091796875,0.05908203125,0.0411376953125,0.03753662109375,0.02655029296875,0.02630615234375,0.0289306640625,0.0828857421875,0.0,0.009033203125,0.01617431640625,0.0494384765625,0.1087646484375,0.14776611328125,0.1600341796875,0.11456298828125,0.091796875,0.05908203125,0.0411376953125,0.03753662109375,0.02655029296875,0.02630615234375,0.0289306640625,0.0828857421875,128.26147,56.830467,128.26147,56.830467,128.26147,56.830467
member_2,Miracle,smiling,original,0.0,0.01617431640625,0.0341796875,0.05682373046875,0.0609130859375,0.06170654296875,0.095703125,0.1585693359375,0.12567138671875,0.0850830078125,0.0634765625,0.0439453125,0.05560302734375,0.03253173828125,0.026611328125,0.0830078125,0.0,0.02178955078125,0.04571533203125,0.0843505859375,0.08758544921875,0.1785888671875,0.15093994140625,0.08905029296875,0.07171630859375,0.04522705078125,0.04461669921875,0.03759765625,0.02880859375,0.02313232421875,0.02117919921875,0.0697021484375,0.00048828125,0.0322265625,0.06292724609375,0.10235595703125,0.099609375,0.177734375,0.14666748046875,0.10162353515625,0.07647705078125,0.04486083984375,0.03582763671875,0.03826904296875,0.02703857421875,0.0389404296875,0.00872802734375,0.0062255859375,137.27625,58.21217,119.321045,58.85073,106.5614,49.41951
